,ACE/Chubb,,AETNA,,AFLAC,,Allstate,,Anthem,,CIGNA,,Mutual of Omaha,,Humana (MIPPA),,Humana (Achieve),,UHIC,,UHICA,
Alabama,7%,You need to live with a spouse or someone who is at least 50 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",,No Supps,"6%
additional 14%","You need to live with a spouse or someone who is at least 18 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or someone who is at least 60 years old.,12%,Both you and your spouse/partner must have a supplemental plan with Humana.,12%,You need to live with a spouse or someone who is at least 18 years old.,10%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,,No Supps
Alaska,7%,You need to live with a spouse or someone who is at least 50 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,,No Supps,"7%
addional 3%
additional 10%","Live with someone 50+
Multiple-member
Annual pay discount",,No Supps,20%,Both you and your spouse/partner must have a supplemental plan with CIGNA.,,No Discount,5%,Both you and your spouse/partner must have a supplemental plan with Humana.,,No Supps,5%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,,No Supps
Arizona,7%,You need to live with a spouse or someone who is at least 50 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",5%,Both you and your spouse/partner must have a supplemental plan with Anthem.,"6%
additional 14%","You need to live with a spouse or someone who is at least 18 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or someone who is at least 60 years old.,5%,Both you and your spouse/partner must have a supplemental plan with Humana.,12%,You need to live with a spouse or someone who is at least 18 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,15%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.
Arkansas,7%,You need to live with a spouse or someone who is at least 50 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,"7%
addional 3%","Live with someone 50+
Multiple-member",,No Supps,12%,"You need to live with a spouse or someone who is at least 50 years old.
",12%,You need to live with a spouse or someone who is at least 60 years old.,12%,You need to live with a spouse or someone who is at least 18 years old.,12%,You need to live with a spouse or someone who is at least 18 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,10%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.
California,7%,You need to live with a spouse or someone who is at least 50 years old.,5%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",5%,Both you and your spouse/partner must have a supplemental plan with Anthem.,"6%
additional 5%","You need to live with a spouse or someone who is at least 50 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or someone who is at least 60 years old.,,No Discount,12%,You need to live with a spouse or someone who is at least 18 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #. Additional $25 discount for first 12 months for new to Medicare on Plan G.,,No Supps
Colorado,7%,You need to live with a spouse or someone who is at least 50 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",10%,Both you and your spouse/partner must have a supplemental plan with Anthem.,"6%
additional 14%","You need to live with a spouse or someone who is at least 50 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or someone who is at least 60 years old.,12%,You need to live with a spouse or someone who is at least 18 years old.,,No Supps,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,,No Supps
Connecticut,,No Supps,,No Supps,,No Supps,,No Supps,5%,Both you and your spouse/partner must have a supplemental plan with Anthem.,7%,Both you and your spouse/partner must have a supplemental plan with CIGNA.,,No Discount,12%,You need to live with a spouse or someone who is at least 18 years old.,,No Supps,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,,No Supps
Delaware,7%,You need to live with a spouse or someone who is at least 50 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,10%,You need to live with a spouse or someone who is at least 50 years old.,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",,No Supps,"6%
additional 14%","You need to live with a spouse or someone who is at least 18 years old.
Both you and your spouse/partner must have a supplemental plan with CIGNA.",12%,You need to live with a spouse or someone who is at least 60 years old.,5%,Both you and your spouse/partner must have a supplemental plan with Humana.,12%,You need to live with a spouse or someone who is at least 18 years old.,7%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,,No Supps
District of Columbia,,No Supps,7%,Both you and your spouse/partner must have a supplemental plan with AETNA.,,No discount,"7%
additional 3%
additional 5%
additional 10%","Live with someone 50+
Multiple-member
Activity tracker discount (registered wearable device)
Annual pay discount",,No Supps,5%,Both you and your spouse/partner must have a supplemental plan with CIGNA.,,No Discount,5%,Both you and your spouse/partner must have a supplemental plan with Humana.,,No Supps,,No Supps,,No Supps
Florida,3%,Both you and your spouse/partner must have a supplemental plan with Ace/Chubb.,,No discount,3%,Both you and your spouse/partner must have a supplemental plan with AFLAC.,3%,Live with someone 50+,,No Supps,3%,Both you and your spouse/partner must have a supplemental plan with CIGNA.,,No Discount,,No Discount,3%,Both you and your spouse/partner must have a supplemental plan with Humana.,3%,Both you and your spouse/partner must have a supplemental plan with AARP / UHC and use the same AARP Membership #.,,No Supps
